state_abb,year,state_has_net_metering,state_net_metering_cap_kw,state_has_community_solar,state_has_municipal_utility_exemption
AL,2010,0,,0,
AL,2011,0,,0,
AL,2012,0,,0,
AL,2013,0,,0,
AL,2014,0,,0,
AL,2015,0,,0,
AL,2016,0,,0,
AL,2017,0,,0,
AL,2018,0,,0,
AL,2019,0,,0,
AL,2020,0,,0,
AL,2021,0,,0,
AL,2022,0,,0,
AL,2023,0,,0,
AL,2024,0,,0,
AL,2025,0,,0,
AK,2010,1,25,0,
AK,2011,1,25,0,
AK,2012,1,25,0,
AK,2013,1,25,0,
AK,2014,1,25,0,
AK,2015,1,25,0,
AK,2016,1,25,0,
AK,2017,1,25,0,
AK,2018,1,25,0,
AK,2019,1,25,0,
AK,2020,1,25,0,
AK,2021,1,25,0,
AK,2022,1,25,0,
AK,2023,1,25,0,
AK,2024,1,25,1,
AK,2025,1,25,1,
AZ,2010,1,,0,1
AZ,2011,1,,0,1
AZ,2012,1,,0,1
AZ,2013,1,,0,1
AZ,2014,1,,0,1
AZ,2015,1,,1,1
AZ,2016,1,,1,1
AZ,2017,1,,1,1
AZ,2018,1,,1,1
AZ,2019,1,,1,1
AZ,2020,1,,1,1
AZ,2021,1,,1,1
AZ,2022,1,,1,1
AZ,2023,1,,1,1
AZ,2024,1,,1,1
AZ,2025,1,,1,1
AR,2010,1,300,0,
AR,2011,1,300,0,
AR,2012,1,300,0,
AR,2013,1,300,0,
AR,2014,1,300,0,
AR,2015,1,300,0,
AR,2016,1,300,0,
AR,2017,1,300,0,
AR,2018,1,300,0,
AR,2019,1,300,0,
AR,2020,1,300,0,
AR,2021,1,300,0,
AR,2022,1,300,0,
AR,2023,1,300,0,
AR,2024,1,300,0,
AR,2025,1,300,0,
CA,2010,1,1000,0,0
CA,2011,1,1000,0,0
CA,2012,1,1000,0,0
CA,2013,1,1000,1,0
CA,2014,1,1000,1,0
CA,2015,1,1000,1,0
CA,2016,1,1000,1,0
CA,2017,1,1000,1,0
CA,2018,1,1000,1,0
CA,2019,1,1000,1,0
CA,2020,1,1000,1,0
CA,2021,1,1000,1,0
CA,2022,1,1000,1,0
CA,2023,1,1000,1,0
CA,2024,1,1000,1,0
CA,2025,1,1000,1,0
CO,2010,1,120,1,0
CO,2011,1,120,1,0
CO,2012,1,120,1,0
CO,2013,1,120,1,0
CO,2014,1,120,1,0
CO,2015,1,120,1,0
CO,2016,1,120,1,0
CO,2017,1,120,1,0
CO,2018,1,120,1,0
CO,2019,1,120,1,0
CO,2020,1,120,1,0
CO,2021,1,120,1,0
CO,2022,1,120,1,0
CO,2023,1,120,1,0
CO,2024,1,120,1,0
CO,2025,1,120,1,0
CT,2010,1,2000,0,0
CT,2011,1,2000,0,0
CT,2012,1,2000,0,0
CT,2013,1,2000,0,0
CT,2014,1,2000,0,0
CT,2015,1,2000,1,0
CT,2016,1,2000,1,0
CT,2017,1,2000,1,0
CT,2018,1,2000,1,0
CT,2019,1,2000,1,0
CT,2020,1,2000,1,0
CT,2021,1,2000,1,0
CT,2022,1,2000,1,0
CT,2023,1,2000,1,0
CT,2024,1,2000,1,0
CT,2025,1,2000,1,0
DE,2010,1,25,0,0
DE,2011,1,25,0,0
DE,2012,1,25,0,0
DE,2013,1,25,0,0
DE,2014,1,25,1,0
DE,2015,1,25,1,0
DE,2016,1,25,1,0
DE,2017,1,25,1,0
DE,2018,1,25,1,0
DE,2019,1,25,1,0
DE,2020,1,25,1,0
DE,2021,1,25,1,0
DE,2022,1,25,1,0
DE,2023,1,25,1,0
DE,2024,1,25,1,0
DE,2025,1,25,1,0
FL,2010,1,2000,0,
FL,2011,1,2000,0,
FL,2012,1,2000,0,
FL,2013,1,2000,0,
FL,2014,1,2000,0,
FL,2015,1,2000,0,
FL,2016,1,2000,0,
FL,2017,1,2000,0,
FL,2018,1,2000,0,
FL,2019,1,2000,0,
FL,2020,1,2000,0,
FL,2021,1,2000,0,
FL,2022,1,2000,0,
FL,2023,1,2000,0,
FL,2024,1,2000,0,
FL,2025,1,2000,0,
GA,2010,1,10,0,
GA,2011,1,10,0,
GA,2012,1,10,0,
GA,2013,1,10,0,
GA,2014,1,10,0,
GA,2015,1,10,0,
GA,2016,1,10,0,
GA,2017,1,10,0,
GA,2018,1,10,0,
GA,2019,1,10,0,
GA,2020,1,10,0,
GA,2021,1,10,0,
GA,2022,1,10,0,
GA,2023,1,10,0,
GA,2024,1,10,0,
GA,2025,1,10,0,
HI,2010,1,10,0,0
HI,2011,1,10,0,0
HI,2012,1,10,0,0
HI,2013,1,10,0,0
HI,2014,1,10,0,0
HI,2015,1,10,1,0
HI,2016,1,10,1,0
HI,2017,1,10,1,0
HI,2018,1,10,1,0
HI,2019,1,10,1,0
HI,2020,1,10,1,0
HI,2021,1,10,1,0
HI,2022,1,10,1,0
HI,2023,1,10,1,0
HI,2024,1,10,1,0
HI,2025,1,10,1,0
ID,2010,1,25,0,
ID,2011,1,25,0,
ID,2012,1,25,0,
ID,2013,1,25,0,
ID,2014,1,25,0,
ID,2015,1,25,0,
ID,2016,1,25,0,
ID,2017,1,25,0,
ID,2018,1,25,0,
ID,2019,1,25,0,
ID,2020,1,25,0,
ID,2021,1,25,0,
ID,2022,1,25,0,
ID,2023,1,25,0,
ID,2024,1,25,0,
ID,2025,1,25,0,
IL,2010,1,2000,0,1
IL,2011,1,2000,0,1
IL,2012,1,2000,0,1
IL,2013,1,2000,0,1
IL,2014,1,2000,0,1
IL,2015,1,2000,0,1
IL,2016,1,2000,0,1
IL,2017,1,2000,1,1
IL,2018,1,2000,1,1
IL,2019,1,2000,1,1
IL,2020,1,2000,1,1
IL,2021,1,2000,1,1
IL,2022,1,2000,1,1
IL,2023,1,2000,1,1
IL,2024,1,2000,1,1
IL,2025,1,2000,1,1
IN,2010,1,1000,0,
IN,2011,1,1000,0,
IN,2012,1,1000,0,
IN,2013,1,1000,0,
IN,2014,1,1000,0,
IN,2015,1,1000,0,
IN,2016,1,1000,0,
IN,2017,1,1000,0,
IN,2018,1,1000,0,
IN,2019,1,1000,0,
IN,2020,1,1000,0,
IN,2021,1,1000,0,
IN,2022,1,1000,0,
IN,2023,1,1000,0,
IN,2024,1,1000,0,
IN,2025,1,1000,0,
IA,2010,1,500,0,0
IA,2011,1,500,0,0
IA,2012,1,500,0,0
IA,2013,1,500,0,0
IA,2014,1,500,0,0
IA,2015,1,500,0,0
IA,2016,1,500,0,0
IA,2017,1,500,0,0
IA,2018,1,500,0,0
IA,2019,1,500,0,0
IA,2020,1,500,0,0
IA,2021,1,500,0,0
IA,2022,1,500,0,0
IA,2023,1,500,0,0
IA,2024,1,500,0,0
IA,2025,1,500,0,0
KS,2010,1,200,0,
KS,2011,1,200,0,
KS,2012,1,200,0,
KS,2013,1,200,0,
KS,2014,1,200,0,
KS,2015,1,200,0,
KS,2016,1,200,0,
KS,2017,1,200,0,
KS,2018,1,200,0,
KS,2019,1,200,0,
KS,2020,1,200,0,
KS,2021,1,200,0,
KS,2022,1,200,0,
KS,2023,1,200,0,
KS,2024,1,200,0,
KS,2025,1,200,0,
KY,2010,1,45,0,
KY,2011,1,45,0,
KY,2012,1,45,0,
KY,2013,1,45,0,
KY,2014,1,45,0,
KY,2015,1,45,0,
KY,2016,1,45,0,
KY,2017,1,45,0,
KY,2018,1,45,0,
KY,2019,1,45,0,
KY,2020,1,45,0,
KY,2021,1,45,0,
KY,2022,1,45,0,
KY,2023,1,45,0,
KY,2024,1,45,0,
KY,2025,1,45,0,
LA,2010,1,25,0,
LA,2011,1,25,0,
LA,2012,1,25,0,
LA,2013,1,25,0,
LA,2014,1,25,0,
LA,2015,1,25,0,
LA,2016,1,25,0,
LA,2017,1,25,0,
LA,2018,1,25,0,
LA,2019,1,25,0,
LA,2020,1,25,0,
LA,2021,1,25,0,
LA,2022,1,25,0,
LA,2023,1,25,0,
LA,2024,1,25,0,
LA,2025,1,25,0,
ME,2010,1,660,0,0
ME,2011,1,660,0,0
ME,2012,1,660,0,0
ME,2013,1,660,0,0
ME,2014,1,660,0,0
ME,2015,1,660,0,0
ME,2016,1,660,0,0
ME,2017,1,660,0,0
ME,2018,1,660,0,0
ME,2019,1,660,1,0
ME,2020,1,660,1,0
ME,2021,1,660,1,0
ME,2022,1,660,1,0
ME,2023,1,660,1,0
ME,2024,1,660,1,0
ME,2025,1,660,1,0
MD,2010,1,2000,0,0
MD,2011,1,2000,0,0
MD,2012,1,2000,0,0
MD,2013,1,2000,0,0
MD,2014,1,2000,0,0
MD,2015,1,2000,1,0
MD,2016,1,2000,1,0
MD,2017,1,2000,1,0
MD,2018,1,2000,1,0
MD,2019,1,2000,1,0
MD,2020,1,2000,1,0
MD,2021,1,2000,1,0
MD,2022,1,2000,1,0
MD,2023,1,2000,1,0
MD,2024,1,2000,1,0
MD,2025,1,2000,1,0
MA,2010,1,60,0,0
MA,2011,1,60,0,0
MA,2012,1,60,0,0
MA,2013,1,60,0,0
MA,2014,1,60,1,0
MA,2015,1,60,1,0
MA,2016,1,60,1,0
MA,2017,1,60,1,0
MA,2018,1,60,1,0
MA,2019,1,60,1,0
MA,2020,1,60,1,0
MA,2021,1,60,1,0
MA,2022,1,60,1,0
MA,2023,1,60,1,0
MA,2024,1,60,1,0
MA,2025,1,60,1,0
MI,2010,1,150,0,1
MI,2011,1,150,0,1
MI,2012,1,150,0,1
MI,2013,1,150,0,1
MI,2014,1,150,0,1
MI,2015,1,150,0,1
MI,2016,1,150,0,1
MI,2017,1,150,0,1
MI,2018,1,150,0,1
MI,2019,1,150,0,1
MI,2020,1,150,0,1
MI,2021,1,150,0,1
MI,2022,1,150,0,1
MI,2023,1,150,0,1
MI,2024,1,150,0,1
MI,2025,1,150,0,1
MN,2010,1,1000,0,0
MN,2011,1,1000,0,0
MN,2012,1,1000,0,0
MN,2013,1,1000,1,0
MN,2014,1,1000,1,0
MN,2015,1,1000,1,0
MN,2016,1,1000,1,0
MN,2017,1,1000,1,0
MN,2018,1,1000,1,0
MN,2019,1,1000,1,0
MN,2020,1,1000,1,0
MN,2021,1,1000,1,0
MN,2022,1,1000,1,0
MN,2023,1,1000,1,0
MN,2024,1,1000,1,0
MN,2025,1,1000,1,0
MO,2010,1,100,0,1
MO,2011,1,100,0,1
MO,2012,1,100,0,1
MO,2013,1,100,0,1
MO,2014,1,100,0,1
MO,2015,1,100,0,1
MO,2016,1,100,0,1
MO,2017,1,100,0,1
MO,2018,1,100,0,1
MO,2019,1,100,0,1
MO,2020,1,100,0,1
MO,2021,1,100,0,1
MO,2022,1,100,0,1
MO,2023,1,100,0,1
MO,2024,1,100,0,1
MO,2025,1,100,0,1
MS,2010,0,,0,
MS,2011,0,,0,
MS,2012,0,,0,
MS,2013,0,,0,
MS,2014,0,,0,
MS,2015,1,,0,
MS,2016,1,,0,
MS,2017,1,,0,
MS,2018,1,,0,
MS,2019,1,,0,
MS,2020,1,,0,
MS,2021,1,,0,
MS,2022,1,,0,
MS,2023,1,,0,
MS,2024,1,,0,
MS,2025,1,,0,
MT,2010,1,50,0,1
MT,2011,1,50,0,1
MT,2012,1,50,0,1
MT,2013,1,50,0,1
MT,2014,1,50,0,1
MT,2015,1,50,0,1
MT,2016,1,50,0,1
MT,2017,1,50,0,1
MT,2018,1,50,0,1
MT,2019,1,50,0,1
MT,2020,1,50,0,1
MT,2021,1,50,0,1
MT,2022,1,50,0,1
MT,2023,1,50,1,1
MT,2024,1,50,1,1
MT,2025,1,50,1,1
NE,2010,1,25,0,
NE,2011,1,25,0,
NE,2012,1,25,0,
NE,2013,1,25,0,
NE,2014,1,25,0,
NE,2015,1,25,0,
NE,2016,1,25,0,
NE,2017,1,25,0,
NE,2018,1,25,0,
NE,2019,1,25,0,
NE,2020,1,25,0,
NE,2021,1,25,0,
NE,2022,1,25,0,
NE,2023,1,25,0,
NE,2024,1,25,0,
NE,2025,1,25,0,
NV,2010,1,1000,0,0
NV,2011,1,1000,0,0
NV,2012,1,1000,0,0
NV,2013,1,1000,0,0
NV,2014,1,1000,0,0
NV,2015,1,1000,0,0
NV,2016,1,1000,0,0
NV,2017,1,1000,1,0
NV,2018,1,1000,1,0
NV,2019,1,1000,1,0
NV,2020,1,1000,1,0
NV,2021,1,1000,1,0
NV,2022,1,1000,1,0
NV,2023,1,1000,1,0
NV,2024,1,1000,1,0
NV,2025,1,1000,1,0
NH,2010,1,1000,0,0
NH,2011,1,1000,0,0
NH,2012,1,1000,0,0
NH,2013,1,1000,1,0
NH,2014,1,1000,1,0
NH,2015,1,1000,1,0
NH,2016,1,1000,1,0
NH,2017,1,1000,1,0
NH,2018,1,1000,1,0
NH,2019,1,1000,1,0
NH,2020,1,1000,1,0
NH,2021,1,1000,1,0
NH,2022,1,1000,1,0
NH,2023,1,1000,1,0
NH,2024,1,1000,1,0
NH,2025,1,1000,1,0
NJ,2010,1,,0,0
NJ,2011,1,,0,0
NJ,2012,1,,0,0
NJ,2013,1,,0,0
NJ,2014,1,,0,0
NJ,2015,1,,0,0
NJ,2016,1,,0,0
NJ,2017,1,,0,0
NJ,2018,1,,0,0
NJ,2019,1,,1,0
NJ,2020,1,,1,0
NJ,2021,1,,1,0
NJ,2022,1,,1,0
NJ,2023,1,,1,0
NJ,2024,1,,1,0
NJ,2025,1,,1,0
NM,2010,1,80000,0,1
NM,2011,1,80000,0,1
NM,2012,1,80000,0,1
NM,2013,1,80000,0,1
NM,2014,1,80000,0,1
NM,2015,1,80000,0,1
NM,2016,1,80000,0,1
NM,2017,1,80000,0,1
NM,2018,1,80000,0,1
NM,2019,1,80000,0,1
NM,2020,1,80000,0,1
NM,2021,1,80000,1,1
NM,2022,1,80000,1,1
NM,2023,1,80000,1,1
NM,2024,1,80000,1,1
NM,2025,1,80000,1,1
NY,2010,1,25,0,0
NY,2011,1,25,0,0
NY,2012,1,25,0,0
NY,2013,1,25,0,0
NY,2014,1,25,0,0
NY,2015,1,25,1,0
NY,2016,1,25,1,0
NY,2017,1,25,1,0
NY,2018,1,25,1,0
NY,2019,1,25,1,0
NY,2020,1,25,1,0
NY,2021,1,25,1,0
NY,2022,1,25,1,0
NY,2023,1,25,1,0
NY,2024,1,25,1,0
NY,2025,1,25,1,0
NC,2010,1,1000,0,0
NC,2011,1,1000,0,0
NC,2012,1,1000,0,0
NC,2013,1,1000,0,0
NC,2014,1,1000,0,0
NC,2015,1,1000,0,0
NC,2016,1,1000,0,0
NC,2017,1,1000,1,0
NC,2018,1,1000,1,0
NC,2019,1,1000,1,0
NC,2020,1,1000,1,0
NC,2021,1,1000,1,0
NC,2022,1,1000,1,0
NC,2023,1,1000,1,0
NC,2024,1,1000,1,0
NC,2025,1,1000,1,0
ND,2010,1,100,0,
ND,2011,1,100,0,
ND,2012,1,100,0,
ND,2013,1,100,0,
ND,2014,1,100,0,
ND,2015,1,100,0,
ND,2016,1,100,0,
ND,2017,1,100,0,
ND,2018,1,100,0,
ND,2019,1,100,0,
ND,2020,1,100,0,
ND,2021,1,100,0,
ND,2022,1,100,0,
ND,2023,1,100,0,
ND,2024,1,100,0,
ND,2025,1,100,0,
OH,2010,1,,0,0
OH,2011,1,,0,0
OH,2012,1,,0,0
OH,2013,1,,0,0
OH,2014,1,,0,0
OH,2015,1,,0,0
OH,2016,1,,0,0
OH,2017,1,,0,0
OH,2018,1,,0,0
OH,2019,1,,0,0
OH,2020,1,,0,0
OH,2021,1,,0,0
OH,2022,1,,0,0
OH,2023,1,,0,0
OH,2024,1,,0,0
OH,2025,1,,0,0
OK,2010,1,100,0,
OK,2011,1,100,0,
OK,2012,1,100,0,
OK,2013,1,100,0,
OK,2014,1,100,0,
OK,2015,1,100,0,
OK,2016,1,100,0,
OK,2017,1,100,0,
OK,2018,1,100,0,
OK,2019,1,100,0,
OK,2020,1,100,0,
OK,2021,1,100,0,
OK,2022,1,100,0,
OK,2023,1,100,0,
OK,2024,1,100,0,
OK,2025,1,100,0,
OR,2010,1,2000,0,0
OR,2011,1,2000,0,0
OR,2012,1,2000,0,0
OR,2013,1,2000,0,0
OR,2014,1,2000,0,0
OR,2015,1,2000,0,0
OR,2016,1,2000,1,0
OR,2017,1,2000,1,0
OR,2018,1,2000,1,0
OR,2019,1,2000,1,0
OR,2020,1,2000,1,0
OR,2021,1,2000,1,0
OR,2022,1,2000,1,0
OR,2023,1,2000,1,0
OR,2024,1,2000,1,0
OR,2025,1,2000,1,0
PA,2010,1,50,0,0
PA,2011,1,50,0,0
PA,2012,1,50,0,0
PA,2013,1,50,0,0
PA,2014,1,50,0,0
PA,2015,1,50,0,0
PA,2016,1,50,0,0
PA,2017,1,50,0,0
PA,2018,1,50,0,0
PA,2019,1,50,0,0
PA,2020,1,50,0,0
PA,2021,1,50,0,0
PA,2022,1,50,0,0
PA,2023,1,50,0,0
PA,2024,1,50,0,0
PA,2025,1,50,0,0
RI,2010,0,,0,0
RI,2011,1,25,0,0
RI,2012,1,25,0,0
RI,2013,1,25,0,0
RI,2014,1,25,0,0
RI,2015,1,25,0,0
RI,2016,1,25,1,0
RI,2017,1,25,1,0
RI,2018,1,25,1,0
RI,2019,1,25,1,0
RI,2020,1,25,1,0
RI,2021,1,25,1,0
RI,2022,1,25,1,0
RI,2023,1,25,1,0
RI,2024,1,25,1,0
RI,2025,1,25,1,0
SC,2010,0,,0,
SC,2011,0,,0,
SC,2012,0,,0,
SC,2013,0,,0,
SC,2014,1,20,1,
SC,2015,1,20,1,
SC,2016,1,20,1,
SC,2017,1,20,1,
SC,2018,1,20,1,
SC,2019,1,20,1,
SC,2020,1,20,1,
SC,2021,1,20,1,
SC,2022,1,20,1,
SC,2023,1,20,1,
SC,2024,1,20,1,
SC,2025,1,20,1,
SD,2010,0,,0,
SD,2011,0,,0,
SD,2012,0,,0,
SD,2013,0,,0,
SD,2014,0,,0,
SD,2015,0,,0,
SD,2016,0,,0,
SD,2017,0,,0,
SD,2018,0,,0,
SD,2019,0,,0,
SD,2020,0,,0,
SD,2021,0,,0,
SD,2022,0,,0,
SD,2023,0,,0,
SD,2024,0,,0,
SD,2025,0,,0,
TN,2010,0,,0,
TN,2011,0,,0,
TN,2012,0,,0,
TN,2013,0,,0,
TN,2014,0,,0,
TN,2015,0,,0,
TN,2016,0,,0,
TN,2017,0,,0,
TN,2018,0,,0,
TN,2019,0,,0,
TN,2020,0,,0,
TN,2021,0,,0,
TN,2022,0,,0,
TN,2023,0,,0,
TN,2024,0,,0,
TN,2025,0,,0,
TX,2010,0,,0,1
TX,2011,0,,0,1
TX,2012,0,,0,1
TX,2013,0,,0,1
TX,2014,0,,0,1
TX,2015,0,,0,1
TX,2016,0,,0,1
TX,2017,0,,0,1
TX,2018,0,,0,1
TX,2019,0,,0,1
TX,2020,0,,0,1
TX,2021,0,,0,1
TX,2022,0,,0,1
TX,2023,0,,0,1
TX,2024,0,,0,1
TX,2025,0,,0,1
UT,2010,1,25,0,
UT,2011,1,25,0,
UT,2012,1,25,0,
UT,2013,1,25,0,
UT,2014,1,25,0,
UT,2015,1,25,0,
UT,2016,1,25,0,
UT,2017,1,25,0,
UT,2018,1,25,0,
UT,2019,1,25,0,
UT,2020,1,25,0,
UT,2021,1,25,0,
UT,2022,1,25,0,
UT,2023,1,25,0,
UT,2024,1,25,0,
UT,2025,1,25,0,
VA,2010,1,25,0,0
VA,2011,1,25,0,0
VA,2012,1,25,0,0
VA,2013,1,25,0,0
VA,2014,1,25,0,0
VA,2015,1,25,0,0
VA,2016,1,25,0,0
VA,2017,1,25,0,0
VA,2018,1,25,0,0
VA,2019,1,25,0,0
VA,2020,1,25,1,0
VA,2021,1,25,1,0
VA,2022,1,25,1,0
VA,2023,1,25,1,0
VA,2024,1,25,1,0
VA,2025,1,25,1,0
VT,2010,1,500,0,0
VT,2011,1,500,0,0
VT,2012,1,500,1,0
VT,2013,1,500,1,0
VT,2014,1,500,1,0
VT,2015,1,500,1,0
VT,2016,1,500,1,0
VT,2017,1,500,1,0
VT,2018,1,500,1,0
VT,2019,1,500,1,0
VT,2020,1,500,1,0
VT,2021,1,500,1,0
VT,2022,1,500,1,0
VT,2023,1,500,1,0
VT,2024,1,500,1,0
VT,2025,1,500,1,0
WA,2010,1,100,0,0
WA,2011,1,100,0,0
WA,2012,1,100,0,0
WA,2013,1,100,0,0
WA,2014,1,100,0,0
WA,2015,1,100,0,0
WA,2016,1,100,0,0
WA,2017,1,100,0,0
WA,2018,1,100,0,0
WA,2019,1,100,0,0
WA,2020,1,100,1,0
WA,2021,1,100,1,0
WA,2022,1,100,1,0
WA,2023,1,100,1,0
WA,2024,1,100,1,0
WA,2025,1,100,1,0
WV,2010,1,50,0,
WV,2011,1,50,0,
WV,2012,1,50,0,
WV,2013,1,50,0,
WV,2014,1,50,0,
WV,2015,1,50,0,
WV,2016,1,50,0,
WV,2017,1,50,0,
WV,2018,1,50,0,
WV,2019,1,50,0,
WV,2020,1,50,0,
WV,2021,1,50,0,
WV,2022,1,50,0,
WV,2023,1,50,0,
WV,2024,1,50,0,
WV,2025,1,50,0,
WI,2010,1,20,0,0
WI,2011,1,20,0,0
WI,2012,1,20,0,0
WI,2013,1,20,0,0
WI,2014,1,20,0,0
WI,2015,1,20,0,0
WI,2016,1,20,0,0
WI,2017,1,20,0,0
WI,2018,1,20,0,0
WI,2019,1,20,0,0
WI,2020,1,20,0,0
WI,2021,1,20,0,0
WI,2022,1,20,0,0
WI,2023,1,20,0,0
WI,2024,1,20,0,0
WI,2025,1,20,0,0
WY,2010,1,25,0,
WY,2011,1,25,0,
WY,2012,1,25,0,
WY,2013,1,25,0,
WY,2014,1,25,0,
WY,2015,1,25,0,
WY,2016,1,25,0,
WY,2017,1,25,0,
WY,2018,1,25,0,
WY,2019,1,25,0,
WY,2020,1,25,0,
WY,2021,1,25,0,
WY,2022,1,25,0,
WY,2023,1,25,0,
WY,2024,1,25,0,
WY,2025,1,25,0,
